清心福全(台北南門店),4.7,222,中港飲料
NOTCH咖啡(台北站前店),4.9,25,中港飲料
B&G德國農莊TeaBar氮氣冷萃茶飲(微風南京旗艦店),4.5,65,中港飲料
鮮茶道(北市永吉店),4.8,162,中港飲料
Mr.Wish(台北市府店),4.7,483,中港飲料
COMEBUY(台北市府店),4.7,320,中港飲料
S&D咖啡(台北光復南店),4.5,35,中港飲料
蘇草,4.3,9,中港飲料
名上咖啡屋,3.8,27,中港飲料
武林茶(台北公館汀州店),4.8,99,中港飲料
阿二冰茶,4.6,475,中港飲料
82Caf?,5,1,中港飲料
一芳水果茶(台北師大店),4.9,35,中港飲料
發現茶現萃茶香專賣店,4.4,32,中港飲料
THEONETEA一茶工房,4.6,263,中港飲料
青果園鮮萃飲,4.5,95,中港飲料
幸福堂(台北通化店),4.3,156,中港飲料
香港大茶檔,4.8,27,中港飲料
星月映辰鮮奶茶舖,4.5,34,中港飲料
拉CHA茶,4.6,77,中港飲料
自己來紅茶鮮乳(台北臨江店),4.7,83,中港飲料
LittleCha,4.3,40,中港飲料
御心木瓜牛奶,4.8,612,中港飲料
C造杯,4,24,中港飲料
水巷茶弄(台北吳興店),1,none,中港飲料
PinCha品茶,4.6,45,中港飲料
瓷禧茶坊(台北中正店),4.6,418,中港飲料
圖角獸咖啡,4.6,22,中港飲料
無事茶飲(台北店),5,3,中港飲料
不要對我尖叫(台北松菸店),4.7,19,中港飲料
Teatop台灣第一味(信義忠孝店),4.8,41,中港飲料
瓷禧茶坊(台北松菸店),4.6,126,中港飲料
何媽媽手作蒟蒻,4.7,188,中港飲料甜點
貓掌燒,4.6,68,中港飲料甜點
"麻舖子,川蜀麻辣燙.滷味",4.2,112,中港滷味
川霸子麻辣滷味(吳興店),4.5,355,中港滷味
饕本家麻辣燙滷味,4.4,61,中港滷味
香師傅滷味(台北大安店),4.6,876,中港滷味
韓老六椒香滷味,4.6,306,中港滷味
辣妞妞麻辣燙(南機場店),4.6,819,中港滷味
八方雲集(建南店),4.8,137,中港餃子
八方雲集(忠孝三店),4.6,169,中港餃子
OH霸手工大水餃,4,35,中港餃子
八方雲集(信義世貿店),4.6,84,中港餃子
山西刀削麵(大安和平東路店),4,11,中港麵類
牛老大麵食館,4.5,1506,中港麵類
壹伍壹麵食館,4.5,68,中港麵類
楊記大餛飩(台北光華店),4.5,23,中港麵類
新明老爹牛肉麵,4.2,81,中港麵類
霸王麵店,4.2,544,中港麵類
郭家?仔麵,4.1,7,中港麵類
雞湯面線,4.3,29,中港麵類
陳鐵心台灣料理,4.5,1307,中港麵類
牛樂麵,4.6,380,中港麵類
旺仔牛肉麵,4.7,344,中港麵類
山東曲曲麵疙瘩,4.4,90,中港麵類
傳統美食麵店,4.4,210,中港麵類
回憶麵麵館,4.1,19,中港麵類
餃子樂(台北信義店),4.7,98,中港麵類
齊媽媽雞湯麵牛肉麵,4.5,351,中港麵類
紗舞縭(SOGO百貨敦化館),4,1,火鍋FS_SOGO88中港
香吧佬涮涮鍋,3.8,5,火鍋中港
貳鍋三新精緻鍋物,4.7,9,火鍋中港
麻凡麻辣鴛鴦石頭火鍋,4,7,火鍋中港
一家魚頭火鍋,4.9,11,火鍋中港
湊一鍋,3.9,10,火鍋中港
