,店名,星級,評論數,分類,適合人數(1、2-4、5),心情(好、普、爛)
544,點點心mini(微風南山店),4.5,265,甜點中港,1,1
545,點點心(台北總店),4.6,4265,甜點中港,2,1
546,貝倫烘焙餐坊,4.4,135,甜點中港,1,2
547,麻吉迷你鯛魚燒,4.5,88,甜點中港,2,1
550,永康錄雞湯,4.4,86,粥&湯中港,2,3
551,一流清粥小菜,4.5,592,粥&湯中港,2,3
552,十二粥,4.6,586,粥&湯中港,2,2
553,雞優穀養生藥膳(台北嘉興店),4.7,113,粥&湯中港,1,2
554,粥強大,4.4,472,粥&湯中港,1,2
556,禾記麻辣,4.6,360,粥&湯中港,3,2
557,粥師傅廣東粥(台北大安店),4.7,398,粥&湯中港,3,2
558,廣東粥,4.5,905,粥&湯中港,2,2
561,黑面蔡(忠孝店),4.5,86,飲料中港,2,2
563,願有記,4.8,376,飲料中港,2,2
564,19咖啡輕食廚房(師大店),4.5,114,飲料中港,2,2
565,少小白,4.6,179,飲料中港,2,2
566,麵屋羽立,4.5,132,飲料中港,3,2
567,願有記(台北延吉店),4.7,275,飲料中港,2,2
569,燈籠滷味創始總店,4.5,2523,滷味中港,3,1
570,燈籠滷味(台北創始店),4.6,827,滷味中港,3,3
572,廟口黑客滷味,4.3,269,滷味中港,2,2
573,大台北平價滷味,4.5,2151,滷味中港,2,1
577,燈籠滷味(台北通化店),4.4,339,滷味中港,1,1
579,小豬很忙蔬果滷味(信義莊敬店),4.5,407,滷味中港,2,1
580,三顧茅廬(台北莊敬店),4.4,242,滷味中港,1,2
583,麻丹辣麻辣滷味(八德中崙店),4.5,516,滷味中港,3,2
590,小日慢慢,4.4,567,漢堡中港,2,1
592,八方雲集(信義嘉興店),4.7,127,餃子中港,3,2
593,四海遊龍(台北大安店),4.5,537,餃子中港,3,2
594,餃匠(台北通化店),4.5,192,餃子中港,2,1
596,四海遊龍(台北濟南店),4.3,326,餃子中港,3,2
598,豪季水餃(頂好復興店),4.2,443,餃子中港,1,2
599,四海遊龍(台北松仁店),4.5,214,餃子中港,1,2
600,八方雲集(台北延平南店),4.6,202,餃子中港,2,2
602,香味純手工水餃,4.6,694,餃子中港,3,2
603,山玖鍋貼水餃,4.5,258,餃子中港,3,1
604,皇家水餃,4.6,185,餃子中港,3,2
605,東門餃子館,4.4,1747,餃子中港,2,2
606,餃子樂(台北東豐店),4.5,106,餃子中港,2,2
609,甘泉魚麵(台北師大店),4.6,997,麵類中港,2,2
612,潮麵ChowPaoMein炒泡麵專賣店(台北信義店),4.3,179,麵類中港,1,3
613,鴻富麵食館,4.5,233,麵類中港,2,2
615,立祥公寓精緻麵食,4.4,193,麵類中港,2,1
616,小邵專業涼麵,4,123,麵類中港,1,2
